epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,283.85,0.72375,0.95673,1.05061,0.65907,0.72727,0.81711,0.6278,0.94343,1.55074,1.0581,0.000154192,0.000154192,0.000154192
43,290.337,0.68659,0.84277,1.02034,0.63504,0.66554,0.79894,0.62997,0.92669,1.44977,1.03417,0.000150318,0.000150318,0.000150318
44,296.603,0.67384,0.78851,0.97729,0.76799,0.67571,0.87432,0.68827,0.92054,1.45737,1.0241,0.000146445,0.000146445,0.000146445
45,302.866,0.70549,0.88533,1.02177,0.65418,0.77273,0.82152,0.65429,0.91433,1.69017,1.02606,0.000142572,0.000142572,0.000142572
46,308.628,0.65701,0.77148,1.0238,0.65504,0.77273,0.84417,0.67053,0.92165,1.78435,1.02598,0.000138698,0.000138698,0.000138698
47,315.214,0.67548,0.83367,1.00693,0.79468,0.745,0.87439,0.6917,0.95067,1.63655,1.02422,0.000134825,0.000134825,0.000134825
48,320.927,0.67144,0.77679,0.99808,0.81376,0.74174,0.87447,0.69881,0.93632,1.53722,1.02573,0.000130951,0.000130951,0.000130951
49,327.503,0.64326,0.78273,1.0109,0.89156,0.67559,0.88947,0.70235,0.94141,1.34554,1.03531,0.000127078,0.000127078,0.000127078
50,333.285,0.66019,0.82345,1.00069,0.78956,0.72727,0.82917,0.63973,0.91633,1.4009,1.03598,0.000123205,0.000123205,0.000123205
51,339.738,0.612,0.70541,0.97006,0.71576,0.72727,0.82917,0.65321,0.8863,1.38095,1.04067,0.000119331,0.000119331,0.000119331
52,345.755,0.64482,0.75556,0.96246,0.7802,0.72727,0.79902,0.63146,0.88002,1.28663,1.03524,0.000115458,0.000115458,0.000115458
53,352.453,0.65256,0.76092,1.00334,0.8558,0.71564,0.83218,0.66726,0.9234,1.22955,1.04547,0.000111585,0.000111585,0.000111585
54,358.849,0.66156,0.73029,1.00956,0.87501,0.70435,0.87741,0.70614,0.89993,1.21886,1.05527,0.000107711,0.000107711,0.000107711
55,365.349,0.57619,0.66376,0.93644,0.7264,0.77273,0.8592,0.69384,0.9083,1.21383,1.0677,0.000103838,0.000103838,0.000103838
56,371.56,0.58705,0.67524,0.94898,0.80608,0.77273,0.91955,0.7249,0.91166,1.18268,1.06789,9.99644e-05,9.99644e-05,9.99644e-05
57,378.077,0.6231,0.70802,0.95641,0.72906,0.79611,0.84424,0.63254,0.95478,1.13757,1.06944,9.6091e-05,9.6091e-05,9.6091e-05
58,384.196,0.56812,0.6472,0.96722,0.72639,0.79796,0.85932,0.67328,0.97258,1.1349,1.05889,9.22176e-05,9.22176e-05,9.22176e-05
59,390.485,0.53301,0.60912,0.9152,0.864,0.69722,0.85932,0.65694,0.96273,1.09172,1.0585,8.83443e-05,8.83443e-05,8.83443e-05
60,396.726,0.57854,0.63305,0.96983,0.94611,0.72727,0.94977,0.72505,0.96991,1.06583,1.0552,8.44709e-05,8.44709e-05,8.44709e-05
61,403.055,0.57092,0.6467,0.95964,0.94999,0.72727,0.90455,0.70193,0.99521,1.06176,1.04754,8.05975e-05,8.05975e-05,8.05975e-05
62,409.072,0.54302,0.59374,0.93452,0.85228,0.72727,0.81409,0.61566,1.00266,1.10127,1.04929,7.67241e-05,7.67241e-05,7.67241e-05
63,415.746,0.56467,0.60234,0.94755,0.78629,0.72727,0.81409,0.61566,0.97004,1.12529,1.0445,7.28507e-05,7.28507e-05,7.28507e-05
